#time 	 prey_t	predator1_t	predator2_t
2.410000 0.835154 1.782435 1.782435
2.415000 0.834091 1.782288 1.782288
2.420000 0.833030 1.782140 1.782140
2.425000 0.831971 1.781990 1.781990
2.430000 0.830915 1.781840 1.781840
2.435000 0.829860 1.781689 1.781689
2.440000 0.828807 1.781537 1.781537
2.445000 0.827756 1.781384 1.781384
2.450000 0.826707 1.781230 1.781230
2.455000 0.825660 1.781075 1.781075
2.460000 0.824615 1.780920 1.780920
2.465000 0.823572 1.780763 1.780763
2.470000 0.822531 1.780606 1.780606
2.475000 0.821492 1.780447 1.780447
2.480000 0.820455 1.780288 1.780288
2.485000 0.819420 1.780127 1.780127
2.490000 0.818387 1.779966 1.779966
2.495000 0.817355 1.779804 1.779804
2.500000 0.816326 1.779641 1.779641
2.505000 0.815299 1.779477 1.779477
2.510000 0.814273 1.779313 1.779313
2.515000 0.813249 1.779147 1.779147
2.520000 0.812228 1.778980 1.778980
2.525000 0.811208 1.778813 1.778813
2.530000 0.810190 1.778644 1.778644
2.535000 0.809174 1.778475 1.778475
2.540000 0.808160 1.778305 1.778305
2.545000 0.807148 1.778134 1.778134
2.550000 0.806137 1.777962 1.777962
2.555000 0.805129 1.777789 1.777789
2.560000 0.804122 1.777616 1.777616
2.565000 0.803117 1.777441 1.777441
2.570000 0.802115 1.777266 1.777266
2.575000 0.801114 1.777089 1.777089
2.580000 0.800114 1.776912 1.776912
2.585000 0.799117 1.776734 1.776734
2.590000 0.798122 1.776555 1.776555
2.595000 0.797128 1.776376 1.776376
2.600000 0.796136 1.776195 1.776195
2.605000 0.795147 1.776014 1.776014
2.610000 0.794159 1.775831 1.775831
2.615000 0.793172 1.775648 1.775648
2.620000 0.792188 1.775464 1.775464
2.625000 0.791205 1.775279 1.775279
2.630000 0.790225 1.775093 1.775093
2.635000 0.789246 1.774907 1.774907
2.640000 0.788269 1.774719 1.774719
2.645000 0.787293 1.774531 1.774531
2.650000 0.786320 1.774342 1.774342
2.655000 0.785348 1.774152 1.774152
2.660000 0.784378 1.773961 1.773961
2.665000 0.783410 1.773769 1.773769
2.670000 0.782444 1.773577 1.773577
2.675000 0.781479 1.773383 1.773383
2.680000 0.780517 1.773189 1.773189
2.685000 0.779556 1.772994 1.772994
2.690000 0.778597 1.772798 1.772798
2.695000 0.777639 1.772602 1.772602
2.700000 0.776683 1.772404 1.772404
2.705000 0.775730 1.772206 1.772206
2.710000 0.774777 1.772007 1.772007
2.715000 0.773827 1.771807 1.771807
2.720000 0.772878 1.771606 1.771606
2.725000 0.771932 1.771404 1.771404
2.730000 0.770987 1.771202 1.771202
2.735000 0.770043 1.770999 1.770999
2.740000 0.769101 1.770795 1.770795
2.745000 0.768162 1.770590 1.770590
2.750000 0.767223 1.770384 1.770384
2.755000 0.766287 1.770178 1.770178
2.760000 0.765352 1.769971 1.769971
2.765000 0.764419 1.769763 1.769763
2.770000 0.763488 1.769554 1.769554
2.775000 0.762558 1.769344 1.769344
2.780000 0.761630 1.769134 1.769134
2.785000 0.760704 1.768922 1.768922
2.790000 0.759780 1.768710 1.768710
2.795000 0.758857 1.768497 1.768497
2.800000 0.757936 1.768284 1.768284
2.805000 0.757017 1.768069 1.768069
2.810000 0.756099 1.767854 1.767854
2.815000 0.755183 1.767638 1.767638
2.820000 0.754269 1.767421 1.767421
2.825000 0.753356 1.767204 1.767204
2.830000 0.752445 1.766986 1.766986
2.835000 0.751536 1.766766 1.766766
2.840000 0.750628 1.766547 1.766547
2.845000 0.749722 1.766326 1.766326
2.850000 0.748818 1.766105 1.766105
2.855000 0.747915 1.765882 1.765882
2.860000 0.747014 1.765659 1.765659
2.865000 0.746114 1.765436 1.765436
2.870000 0.745217 1.765211 1.765211
2.875000 0.744321 1.764986 1.764986
2.880000 0.743426 1.764760 1.764760
2.885000 0.742533 1.764533 1.764533
2.890000 0.741642 1.764306 1.764306
2.895000 0.740753 1.764077 1.764077
2.900000 0.739865 1.763848 1.763848
2.905000 0.738978 1.763618 1.763618
2.910000 0.738094 1.763388 1.763388
2.915000 0.737210 1.763157 1.763157
2.920000 0.736329 1.762925 1.762925
2.925000 0.735449 1.762692 1.762692
2.930000 0.734571 1.762458 1.762458
2.935000 0.733694 1.762224 1.762224
2.940000 0.732819 1.761989 1.761989
2.945000 0.731945 1.761753 1.761753
2.950000 0.731074 1.761517 1.761517
2.955000 0.730203 1.761279 1.761279
2.960000 0.729334 1.761042 1.761042
2.965000 0.728467 1.760803 1.760803
2.970000 0.727602 1.760563 1.760563
2.975000 0.726738 1.760323 1.760323
2.980000 0.725875 1.760082 1.760082
2.985000 0.725014 1.759841 1.759841
2.990000 0.724155 1.759598 1.759598
2.995000 0.723297 1.759355 1.759355
3.000000 0.722441 1.759112 1.759112
3.005000 0.721586 1.758867 1.758867
3.010000 0.720733 1.758622 1.758622
3.015000 0.719882 1.758376 1.758376
3.020000 0.719032 1.758129 1.758129
3.025000 0.718183 1.757882 1.757882
3.030000 0.717336 1.757634 1.757634
3.035000 0.716491 1.757385 1.757385
3.040000 0.715647 1.757136 1.757136
3.045000 0.714805 1.756886 1.756886
3.050000 0.713964 1.756635 1.756635
3.055000 0.713125 1.756383 1.756383
3.060000 0.712287 1.756131 1.756131
3.065000 0.711451 1.755878 1.755878
3.070000 0.710616 1.755624 1.755624
3.075000 0.709783 1.755370 1.755370
3.080000 0.708951 1.755115 1.755115
3.085000 0.708121 1.754859 1.754859
3.090000 0.707292 1.754603 1.754603
3.095000 0.706465 1.754345 1.754345
3.100000 0.705639 1.754088 1.754088
3.105000 0.704815 1.753829 1.753829
3.110000 0.703992 1.753570 1.753570
3.115000 0.703171 1.753310 1.753310
3.120000 0.702351 1.753049 1.753049
3.125000 0.701532 1.752788 1.752788
3.130000 0.700715 1.752526 1.752526
3.135000 0.699900 1.752264 1.752264
3.140000 0.699086 1.752000 1.752000
3.145000 0.698274 1.751736 1.751736
3.150000 0.697463 1.751472 1.751472
3.155000 0.696653 1.751207 1.751207
3.160000 0.695845 1.750941 1.750941
3.165000 0.695038 1.750674 1.750674
3.170000 0.694233 1.750407 1.750407
3.175000 0.693430 1.750139 1.750139
3.180000 0.692627 1.749870 1.749870
3.185000 0.691826 1.749601 1.749601
3.190000 0.691027 1.749331 1.749331
3.195000 0.690229 1.749060 1.749060
3.200000 0.689432 1.748789 1.748789
3.205000 0.688637 1.748517 1.748517
3.210000 0.687844 1.748245 1.748245
3.215000 0.687051 1.747972 1.747972
3.220000 0.686260 1.747698 1.747698
3.225000 0.685471 1.747423 1.747423
3.230000 0.684683 1.747148 1.747148
3.235000 0.683896 1.746872 1.746872
3.240000 0.683111 1.746596 1.746596
3.245000 0.682327 1.746319 1.746319
3.250000 0.681545 1.746041 1.746041
3.255000 0.680764 1.745763 1.745763
3.260000 0.679984 1.745484 1.745484
3.265000 0.679206 1.745204 1.745204
3.270000 0.678429 1.744924 1.744924
3.275000 0.677654 1.744643 1.744643
3.280000 0.676880 1.744362 1.744362
3.285000 0.676107 1.744080 1.744080
3.290000 0.675336 1.743797 1.743797
3.295000 0.674566 1.743513 1.743513
3.300000 0.673797 1.743229 1.743229
3.305000 0.673030 1.742945 1.742945
3.310000 0.672265 1.742660 1.742660
3.315000 0.671500 1.742374 1.742374
3.320000 0.670737 1.742087 1.742087
3.325000 0.669975 1.741800 1.741800
3.330000 0.669215 1.741512 1.741512
3.335000 0.668456 1.741224 1.741224
3.340000 0.667698 1.740935 1.740935
3.345000 0.666942 1.740645 1.740645
3.350000 0.666187 1.740355 1.740355
3.355000 0.665433 1.740064 1.740064
3.360000 0.664681 1.739773 1.739773
3.365000 0.663930 1.739481 1.739481
3.370000 0.663181 1.739189 1.739189
3.375000 0.662432 1.738895 1.738895
3.380000 0.661685 1.738602 1.738602
3.385000 0.660940 1.738307 1.738307
3.390000 0.660196 1.738012 1.738012
3.395000 0.659453 1.737717 1.737717
3.400000 0.658711 1.737420 1.737420
3.405000 0.657971 1.737124 1.737124
3.410000 0.657232 1.736826 1.736826
3.415000 0.656494 1.736528 1.736528
3.420000 0.655758 1.736230 1.736230
3.425000 0.655022 1.735931 1.735931
3.430000 0.654289 1.735631 1.735631
3.435000 0.653556 1.735331 1.735331
3.440000 0.652825 1.735030 1.735030
3.445000 0.652095 1.734728 1.734728
3.450000 0.651367 1.734426 1.734426
3.455000 0.650639 1.734124 1.734124
3.460000 0.649913 1.733820 1.733820
